Country,State,District,Year,District And Taluk Court Case Type,Date Of Extraction,Pending Cases For A Period Of 0 To 1 Years (UOM:Number),Pending Cases For A Period Of 1 To 3 Years (UOM:Number),Pending Cases For A Period Of 3 To 5 Years (UOM:Number),Pending Cases For A Period Of 5 To 10 Years (UOM:Number),Pending Cases For A Period Of 10 To 20 Years (UOM:Number),Pending Cases For A Period Of 20 To 30 Years (UOM:Number),Pending Cases Over 30 Years (UOM:Number),Pending Cases (UOM:Number),Original Pending Cases (UOM:Number),Pending Appeal Cases (UOM:Number),Pending Application Cases (UOM:Number),Pending Execution Cases (UOM:Number),Cases Pending At Appearance Or Service-Related Stage (UOM:Number),Cases Pending At Compliance Or Steps Or Stay Stage (UOM:Number),Cases Pending At Evidence Or Argument Or Judgement Stage (UOM:Number),Cases Pending At Pleadings Or Issues Or Charge Stage (UOM:Number),Cases Instituted In Last Month (UOM:Number),Cases Disposed In Last Month (UOM:Number),Cases Filed By Senior Citizens (UOM:Number),Cases Filed By Women (UOM:Number),Cases Delayed In Disposal (UOM:Number)
India,Maharashtra,Raigad,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,9163,7427,8325,11443,4912,592,70,41932,26193,1446,5103,9189,18217,9675,11550,2401,1049,584,10667,6099,16716
India,West Bengal,Birbhum,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,4183,3892,3368,4331,1119,271,104,17268,15457,953,287,563,4414,4793,6598,1374,352,415,3969,2239,6997
India,West Bengal,Howrah,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,11293,9118,14968,25675,15578,2015,278,78925,75704,585,364,2160,15292,4403,30912,8714,1585,1397,1066,9173,6283
India,Uttar Pradesh,Kushi Nagar,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,20849,26668,16642,24207,25854,6346,1266,121832,114353,418,7061,0,71889,90,38350,4670,462,344,1960,10117,68098
India,Uttar Pradesh,Prayagraj,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,10901,16252,14479,22471,11448,2689,1099,79339,69686,4002,2717,2840,692,1130,72678,3896,0,6,13505,5169,45565
India,Uttar Pradesh,Kaushambi,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,2463,2518,1988,1820,661,35,1,9486,8900,59,478,49,2857,115,1278,5191,83,126,960,646,5169
India,Uttar Pradesh,Rampur,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,18477,30405,13181,14173,8679,1041,80,86036,80669,351,5016,0,28270,677,34104,19841,1039,675,828,4424,32736
India,Mizoram,Hnahthial,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,11.67881833371637276134,18.04908287937984881298,3.36208406576683458281,1.23866255054567589893,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,34.32864782940873205606,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,1.94646972228606212689,0.35390358587019311398,3.18513227283173802582,3.18513227283173802582,0.00000000000000000000
India,Odisha,Kalahandi,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,1104,1124,740,694,168,38,7,3875,3082,221,384,188,1047,1030,1382,399,119,132,1000,666,1495
India,West Bengal,Hooghly,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,22529,18713,20330,37988,8303,2170,628,110661,96279,3168,8338,2668,42812,11810,42365,9722,2590,2162,8531,14290,6961
India,Uttar Pradesh,Azamgarh,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,47680,31166,21523,32522,22088,5242,1360,161581,139975,2998,16575,2033,30423,2525,106591,15829,7815,4014,16009,13641,116990
India,Uttar Pradesh,Balrampur,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,2309,2828,3274,4506,1951,433,91,15392,15149,161,3,79,162,1351,8646,5223,218,233,3104,2149,10295
India,Telangana,Nalgonda,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,7847,7734,7200,3832,74,1,0,26688,26010,208,471,0,16744,2620,6089,687,1275,932,752,2596,16
India,Uttar Pradesh,Aligarh,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,5295,7368,5451,5025,1596,306,331,25372,22623,967,89,1170,13279,791,6528,3737,98,152,4482,4720,12419
India,Uttar Pradesh,Ghazipur,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,20252,29228,18606,33823,23333,6174,1811,133227,110207,2075,20330,614,58704,2530,53325,16255,4716,3323,8732,15018,55074
India,Punjab,Kapurthala,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,10152,8770,5119,1136,66,0,1,25244,18298,1700,3443,1803,11449,1174,10469,2149,1525,1806,2839,2744,3534
India,Tamil Nadu,Villupuram,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,3218.68592518558577132034,3387.08823925981775011192,2319.54848148889135452148,2278.48926003616341622954,518.89334937360524913872,39.86909909177930239942,0.59506118047431794626,11763.16941561631716166768,11216.90325194089328700100,74.38264755928974328250,389.76507321067825480030,0.00000000000000000000,4552.81309180900660683526,460.57735368712209040524,5011.01020077423142545546,1550.13437513559825000730,2969.35529056684655183740,2988.39724834202472611772,142.81468331383630710240,280.27381600340375268846,6989.58862585133859676996
India,Jammu And Kashmir,Anantnag,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,5083,4684,2565,2649,500,15,0,15496,11033,332,1993,584,5694,1581,4014,1231,951,383,966,1089,1
India,Gujarat,Patan,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,8024,7317,3500,1948,550,72,1,21412,19390,347,1675,0,11714,219,8669,702,1006,865,584,994,4124
India,Chhattisgarh,Kondagaon,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,1240,1158,275,9,1,0,0,2683,2483,15,185,0,570,31,1252,830,199,149,7,111,304
India,Haryana,Kurukshetra,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,5721,5622,4231,1445,73,4,0,17096,11513,1594,851,3138,6716,1130,7310,1940,536,352,2869,2999,7304
India,Madhya Pradesh,Sheopur,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,3132,3008,1475,215,4,0,0,7834,6777,187,716,154,0,381,4826,2625,815,766,384,760,3043
India,Odisha,Jharsuguda,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,652,546,532,1088,452,83,70,3423,0,5,15,452,9,6,7,13,100,125,848,839,2286
India,Kerala,Pathanamthitta,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,6670,7927,5503,3020,464,30,4,23618,19334,586,774,2916,4275,8350,2447,3148,700,595,5727,6719,645
India,Maharashtra,Gadchiroli,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,4594,5757,2400,627,6,1,0,13385,11592,248,1545,0,3944,1235,7189,1017,599,452,194,829,2555
India,Bihar,Samastipur,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,8334,13718,19834,27733,18859,4409,660,93547,91331,1053,1153,2,42743,12279,36520,1253,1344,1591,4450,16409,121775
India,Haryana,Kaithal,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,5163.62003654755979826155,5930.68494294503175048186,4258.28215600621218570147,1397.69616205649731064634,41.14106263754055010219,0.00000000000000000000,3.00000000000000000000,16794.42436019284159519341,11960.24112245081519942158,1123.14578473817076314535,673.09160350544765513737,3037.94584949840797748911,6304.35388321570555676190,1655.54148852604500836100,6883.59779920129040766303,1949.93118924980062240748,554.71944875846230414334,319.28369930862450455210,2619.71370803326757369879,1560.44230792293531770674,7294.59570048989920186607
India,Meghalaya,Ri Bhoi,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,452,426,203,466,119,18,1,1685,1519,8,140,17,470,285,743,187,68,130,53,234,528
India,Kerala,Kottayam,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,46178,47685,24157,7227,331,10,4,125592,115257,1403,3640,5205,82995,19823,7574,8087,6837,4663,6757,9212,915
India,Madhya Pradesh,Seoni,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,2233,1562,1184,810,58,1,7,5855,4894,361,0,600,0,947,1367,3541,202,167,1260,1531,2035
India,Madhya Pradesh,Anuppur,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,3700.57864200513322220067,4392.52466175589299514350,2663.15315447582006761734,1685.93980275934050240564,36.52211516516135748771,0.98708419365300966183,0.00000000000000000000,12479.70546035500115451669,10384.12571722966164245160,219.13269099096814492626,1876.44705213437136713883,0.00000000000000000000,114.50176646374912077228,335.60862584202328502220,5881.04762578463156518314,6024.17483386431796614849,1132.18557012000208211901,618.90178942043705796741,111.54051388279009178679,1282.22236755525955071717,4249.39745367620659417815
India,Bihar,Muzaffarpur,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,20502,36779,39591,45992,35157,6316,909,185246,164659,1545,3445,1720,109105,9710,59984,3863,2521,1685,7517,17642,133368
India,Madhya Pradesh,Hoshangabad,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,1963,1427,1060,420,65,1,0,4936,3865,439,0,632,0,841,1278,2816,205,216,1033,1150,1457
India,Karnataka,Davangere,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,7082,6075,4166,2880,385,8,2,20598,14840,1661,136,3961,5438,2114,9829,651,759,564,5100,2999,13145
India,Chhattisgarh,Bemetara,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,1923,2092,981,212,1,0,0,5209,4879,29,301,0,680,94,3956,409,537,424,40,279,1140
India,Karnataka,Bengaluru Rural,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,20494,17719,15677,23481,12027,286,13,89697,80611,4005,383,4683,27956,8600,36377,6490,1534,1186,20672,17295,69118
India,Madhya Pradesh,Panna,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,3999,5133,2553,536,22,0,0,12243,10857,167,1199,0,0,136,7502,4602,1090,852,116,696,4658
India,Chhattisgarh,Bastar,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,671.42600988764044943797,565.20622022471910112340,364.46056269662921348302,194.89869662921348314600,14.61740224719101123595,1.94898696629213483146,0.97449348314606741573,1813.53237213483146067353,1366.23986337078651685346,241.67438382022471910104,0.00000000000000000000,205.61812494382022471903,518.43053303370786516836,307.93994067415730337068,755.23244943820224719075,180.28129438202247191005,65.29106337078651685391,80.88295910112359550559,289.42456449438202247181,135.45459415730337078647,584.69608988764044943800
India,Kerala,Malappuram,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,26932,22364,13791,9471,335,22,2,72917,60423,1165,4251,5693,28140,10412,3783,5030,5455,4114,4772,9346,654
India,Karnataka,Kodagu,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,6216,5853,3624,2504,242,12,1,18452,15025,891,1292,1245,8292,1228,6973,852,1092,1011,2454,1356,6872
India,Odisha,Nuapada,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,622,609,909,476,46,2,0,2664,2345,68,187,64,823,874,822,138,57,81,674,401,1681
India,Odisha,Anugul,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,14327,16860,11636,14517,13123,2303,6,72772,68287,574,3075,836,39061,16470,14899,1975,1190,2645,2191,2775,46059
India,Haryana,Charki Dadri,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,2689.24147095803162537577,3379.45245756204705568019,2570.92836773338962151682,954.49480159931964671662,8.60458932542850937156,0.00000000000000000000,0.00000000000000000000,9602.72168717821645866096,6362.17188586951533997881,872.75120300774880768680,555.61062501338374799216,1779.61345655558920609657,4144.64629400193949622249,604.77970687297523011536,3841.94913380382943440154,1011.03924573784985115830,247.68924986769209119562,249.22578367580432501197,1815.26104090379303063589,1519.32462946137679760688,2445.54720899143134210266
India,Gujarat,Patan,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,9759,8643,4592,2712,699,81,1,26487,22591,720,2139,1037,13457,477,11126,1276,1211,1041,1534,1465,5636
India,Jharkhand,Hazaribagh,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,1640,2878,1286,1099,340,17,13,7273,6125,214,357,577,1466,776,4370,656,164,125,1314,1026,3253
India,Madhya Pradesh,Umaria,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,684,463,351,321,58,3,0,1880,1392,163,0,325,0,211,442,1227,66,55,574,452,867
India,Odisha,Puri,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,3164,3462,3752,7009,2874,395,37,20693,13184,2190,3625,1694,5471,6999,6880,1274,304,544,4696,2837,15352
India,Meghalaya,East Jaintia Hills,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,300,301,205,301,179,23,50,1359,1336,2,19,0,487,299,385,188,65,90,0,4,0
India,Jammu And Kashmir,Poonch,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,572,593,681,837,54,0,0,2737,1316,18,152,0,326,113,885,100,143,137,17,145,4
India,Bihar,Lakhisarai,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,4004,5497,6473,9296,7374,1344,185,34173,32818,258,891,205,19227,1194,10159,997,746,590,3433,3341,27159
India,Meghalaya,East Garo Hills,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,9,106,10,0,0,0,0,125,122,2,1,0,30,1,4,90,0,1,8,19,3
India,Haryana,Panchkula,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,3392,3119,2349,1074,23,3,0,9960,6089,688,731,2452,4389,361,3273,1872,394,328,2135,1523,2197
India,Odisha,Dhenkanal,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,1802,2082,1523,2120,755,24,5,8311,6355,575,863,518,1775,3469,2741,321,188,147,2395,1303,5288
India,Odisha,Koraput,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,783,734,814,1118,113,22,0,3584,2850,215,235,284,889,1358,1018,313,104,76,669,859,1782
India,Gujarat,Jamnagar,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,2816,2243,1645,1420,771,42,3,8940,5393,847,576,2124,3219,682,4271,526,374,484,1247,585,4216
India,Jharkhand,Latehar,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,2363,2317,2032,2411,140,3,0,9266,8552,291,395,28,3906,277,3083,1878,435,433,761,96,2946
India,Kerala,Wayanad,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,11298,7574,3408,3294,131,8,2,25715,22744,314,1538,1119,12795,7439,2660,2157,1412,1174,1117,1651,860
India,Himachal Pradesh,Bilaspur,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,3190,3921,2224,1402,146,1,2,10886,6599,142,3591,554,2023,4436,1586,836,309,350,3392,1311,90
India,Haryana,Gurugram,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,12462,13281,12639,5510,1443,3,0,45338,30943,2580,2821,8994,20910,4059,15684,4678,1160,1194,4601,3285,28818
India,Madhya Pradesh,Dindori,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,2919.68725956060607335700,3920.67462616535587343900,2416.06202253729096751800,2012.68464862528579441600,1.32171347991009301000,0.04597264277948149600,0.00000000000000000000,11270.47624301122828323600,9955.06514977350871870800,44.60310587784186224900,1270.80798735987770227900,0.00000000000000000000,0.00000000000000000000,45.72368904559172371400,5671.42448258493528161400,5540.60409727647072180800,1044.12979585933407275100,626.15354233709403319500,40.49392085124059369600,719.79753941419188398700,7071.12675102944849143900
India,Gujarat,Vadodara,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,9121,8352,7024,6367,2929,877,49,34719,25198,1419,3629,4478,10238,2806,17788,3371,986,1270,4383,2946,8516
India,Haryana,Bhiwani,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,7082.09566917210429232752,7927.18141999271924113812,6554.26342152840872593926,2010.88847101003704622719,4.84885266864287265711,0.00000000000000000000,0.00000000000000000000,23579.27783437191217828920,20315.99998837525888005417,1287.71673014387146708107,1975.56111585278183115396,0.00000000000000000000,9478.12158072006093817659,448.17252523027694416431,12142.21977552013068664017,1498.29547461064765104699,1285.63865042873880737088,1264.16516003903465703225,516.74915582965471460058,1861.26673152048554709351,5687.70418031808962679003
India,Gujarat,Tapi,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,344,292,315,279,34,2,1,1267,943,156,79,89,250,112,825,79,65,68,366,264,825
India,Odisha,Koraput,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,7745,6804,6585,5716,2708,605,1,30164,26781,141,3243,0,16867,4585,7754,819,1009,1583,102,297,12396
India,Jharkhand,Palamu,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,1543,1303,1188,1105,650,78,14,5881,4359,227,1118,172,1607,1312,2502,459,174,125,1710,852,1295
India,Manipur,Noney,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,7.60081933383267857964,12.66803222305446429940,9.04859444503890307100,12.30608844525290817656,0.72388755560311224568,0.00000000000000000000,0.00000000000000000000,42.34742200278206637228,19.90690777908558675620,0.00000000000000000000,22.44051422369647961608,0.00000000000000000000,0.36194377780155612284,5.79110044482489796544,32.57494000214005105560,3.61943777801556122840,0.00000000000000000000,0.00000000000000000000,9.77248200064201531668,2.53360644461089285988,27.14578333511670921300
India,Manipur,Chandel,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,10.00342622518761010394,2.35374734710296708328,0.58843683677574177082,0.58843683677574177082,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,13.53404724584206072886,7.06124204130890124984,0.00000000000000000000,4.11905785743019239574,0.00000000000000000000,0.00000000000000000000,0.58843683677574177082,10.59186306196335187476,0.00000000000000000000,19.41841561359947843706,20.00685245037522020788,1.17687367355148354164,1.76531051032722531246,1.17687367355148354164
India,Haryana,Charki Dadri,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,5831.14580178592733304825,6896.27103756932781454207,5478.66494620498089557756,1846.60633058928260048943,10.75573665678563671445,0.00000000000000000000,0.00000000000000000000,20063.44385280630428037176,15375.17189749425645992464,1444.03447286387734060573,1432.04950916060191683820,1779.61345655558920609657,8349.52471328187855804590,803.60718164269828595105,9228.72935828369874776137,1675.74377112720220011131,818.05059943895328382474,810.06062363676966797972,2044.51188507413831603531,2345.05789794089125051337,4968.84302867334171531263
India,Jharkhand,Ramgarh,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,2443,2986,2268,3078,1146,28,3,11952,11437,102,413,0,5605,484,5397,396,466,475,440,1606,5481
India,Bihar,Sitamarhi,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,4914,18931,21760,28794,311,10,3,74723,62132,377,1022,0,32426,10527,16446,741,1022,823,1091,5070,49072
India,Jammu And Kashmir,Srinagar,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,50842,16592,7664,6764,2434,93,7,84396,33516,805,3890,1342,14569,5717,29304,1746,4261,3786,1642,1805,28
India,Gujarat,Surat,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,9793,8278,6686,6728,3299,253,22,35059,25012,1708,2202,6137,11895,2621,17129,2528,1009,1332,4508,4220,9255
India,Odisha,Sambalpur,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,11073,17325,11916,22724,9244,923,6,73211,71511,231,1469,0,35737,35268,2092,52,954,2105,584,2950,52147
India,Himachal Pradesh,Shimla,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,57557,21214,9054,7380,676,14,0,95895,86042,599,7482,1770,67496,12147,11318,4592,9649,8316,5007,3147,18797
India,Maharashtra,Kolhapur,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,21002,24422,16549,13735,2494,508,177,78887,69674,1764,7449,0,41042,9441,22779,5509,1748,874,2874,2882,31845
India,Haryana,Rohtak,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,19397,24437,11829,3285,67,2,0,59017,51928,1012,3165,2912,35815,685,18057,4450,2333,2052,3331,4756,22605
India,Jammu And Kashmir,Kulgam,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,987,1134,773,1258,382,0,0,4534,3011,45,342,5,961,122,2150,96,404,241,28,161,27
India,Himachal Pradesh,Hamirpur,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,13249,3695,1863,1454,62,0,0,20323,17780,144,2221,178,14490,2300,2772,722,1174,1758,535,1426,3503
India,Odisha,Gajapati,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,3524,2545,844,500,150,11,0,7574,7160,109,265,40,4272,1065,2039,176,462,160,176,233,2697
India,Karnataka,Raichur,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,8245,4775,3319,2206,137,2,0,18684,15941,303,2439,0,9182,2036,5160,1676,1151,1872,465,1009,4664
India,Nagaland,Mokokchung,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,50,54,16,13,5,0,0,138,138,0,0,0,25,0,33,52,3,3,6,22,0
India,Madhya Pradesh,Barwani,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,4912,5903,2691,645,16,1,0,14168,12817,133,1218,0,0,142,5786,8228,1520,1067,157,727,6663
India,Madhya Pradesh,Guna,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,9660,13202,7655,1969,58,2,1,32547,28825,1294,1938,488,0,1188,16226,15116,1974,1563,1373,2341,13023
India,Odisha,Mayurbhanj,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,8162,14942,11341,10267,10032,1509,23,56276,52926,269,3081,0,32087,10355,11230,2437,1061,2796,282,1290,29111
India,Madhya Pradesh,Indore,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,32775,39899,53143,62686,4276,35,2,192816,178701,1304,12816,0,0,2059,45794,136862,9274,4737,2914,9091,128975
India,Karnataka,Bengaluru Rural,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,11669,13429,13434,17835,3692,94,5,60158,55707,407,4048,0,15413,3695,17445,9063,2728,2133,2318,1961,56734
India,Chhattisgarh,Balrampur,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,2453,3407,1857,482,6,4,0,8209,7382,196,368,261,2401,224,2795,2787,414,322,260,265,1099
India,Karnataka,Chamarajanagara,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,3937,2579,1983,1328,44,0,0,9871,8293,80,1498,0,4023,431,3857,826,882,665,571,898,1236
India,Jammu And Kashmir,Jammu,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,8392,8064,6452,8117,1973,29,10,33037,27206,165,5110,551,14410,2722,14232,1502,2194,1611,584,2046,29
India,Himachal Pradesh,Kinnaur,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,7949,4849,2151,1397,83,0,0,16429,15149,60,1217,3,11665,1293,2509,954,1681,743,275,926,3416
India,Maharashtra,Nagpur,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,41152,58400,42678,41010,19620,8172,5697,216729,201012,2193,13513,11,154853,14964,37765,9024,3035,2276,3147,6104,45204
India,Jammu And Kashmir,Pulwama,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,963,804,483,411,57,2,0,2720,2064,87,125,197,920,606,725,297,149,154,342,278,67
India,Jharkhand,Koderma,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,4742,4613,2839,3225,262,9,2,15692,14478,198,848,166,6517,1406,7122,620,947,936,1512,2870,6393
India,Karnataka,Koppal,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,5571,5304,3178,2222,174,6,0,16455,12263,781,178,3215,4474,2697,6972,1288,616,469,2761,955,8410
India,Haryana,Nuh,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,11090,15448,12331,2609,31,1,0,41510,34408,1045,3387,2660,21957,1418,14092,4001,1823,1676,2885,2784,7589
India,Bihar,Munger,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,1142,1426,1639,1874,1035,236,94,7446,5981,295,810,360,3606,685,2925,225,98,33,1462,2127,9619
India,Madhya Pradesh,Dhar,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,15492,16507,12059,3458,23,1,0,47540,41422,877,2204,3037,108,1392,22875,22903,3476,2326,1801,3192,19400
India,Gujarat,Surat,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,42740,34896,26965,13530,6303,2106,177,126717,117436,1486,7795,0,80296,1453,39921,4638,7514,3744,3043,6370,33842
India,Karnataka,Chikkamagaluru,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,5572,5031,3081,1777,97,4,0,15562,10614,922,281,3744,3159,2543,9075,318,509,489,4258,2038,8163
India,Bihar,Rohtas,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,8125,10808,17554,26377,13128,2057,197,78246,76345,782,1119,0,35687,3699,26301,10238,1267,1836,4106,11312,69592
India,Odisha,Balangir,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,7165,8794,9424,8359,3940,185,6,37873,35649,201,2023,0,19556,5650,10198,1288,1789,486,177,806,22610
India,Maharashtra,Amravati,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,25587,36663,21702,18933,1332,215,365,104797,95400,1691,7328,379,70232,7255,22118,5191,2009,1252,1959,3959,24350
India,Jammu And Kashmir,Udhampur,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,1800,1674,1224,844,27,0,0,5569,4354,42,1054,119,1330,350,2453,218,818,572,139,355,23
India,Gujarat,Mahisagar,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,838,580,344,363,103,2,0,2230,1487,74,162,507,702,129,994,267,63,229,377,283,353
India,Jammu And Kashmir,Doda,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,2297,1938,1371,943,84,1,0,6634,4669,78,1560,202,2138,740,3360,369,490,395,663,487,133
India,Himachal Pradesh,Kullu,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,2143,2299,1844,1661,90,0,0,8037,4927,84,1676,1350,2308,2624,2247,827,371,332,1179,520,3093
India,Chandigarh,Chandigarh,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,32386,26296,16382,4396,190,6,0,79656,66225,3629,5734,4068,45723,2973,29602,1230,3898,2494,4994,7282,19941
India,Manipur,Bishnupur,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,129,49,33,117,2,0,0,330,111,4,168,1,27,104,144,9,64,61,13,74,77
India,Jharkhand,Saraikela Kharsawan,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,501,390,353,196,48,5,1,1494,1084,122,200,87,617,118,537,121,61,47,182,105,536
India,Maharashtra,Jalgaon,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,9553,9229,7604,7828,1877,197,46,36334,18042,2021,4566,11705,10143,11026,12905,2101,1004,751,8204,5332,12648
India,Nagaland,Wokha,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,0,36,6,49,15,0,0,106,106,0,0,0,15,0,18,0,0,0,4,2,0
India,Haryana,Sonipat,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,17166,11451,8898,3904,27,0,0,41446,38270,864,2232,80,22129,474,16555,2286,2626,2747,1330,2855,8621
India,Delhi,East,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,17319,12722,11098,8121,811,2,0,50073,31017,470,17497,1089,18919,8,21215,3653,1173,1134,1321,5900,28694
