Country,State,District,Year,District And Taluk Court Case Type,Date Of Extraction,Pending Cases For A Period Of 0 To 1 Years (UOM:Number),Pending Cases For A Period Of 1 To 3 Years (UOM:Number),Pending Cases For A Period Of 3 To 5 Years (UOM:Number),Pending Cases For A Period Of 5 To 10 Years (UOM:Number),Pending Cases For A Period Of 10 To 20 Years (UOM:Number),Pending Cases For A Period Of 20 To 30 Years (UOM:Number),Pending Cases Over 30 Years (UOM:Number),Pending Cases (UOM:Number),Original Pending Cases (UOM:Number),Pending Appeal Cases (UOM:Number),Pending Application Cases (UOM:Number),Pending Execution Cases (UOM:Number),Cases Pending At Appearance Or Service-Related Stage (UOM:Number),Cases Pending At Compliance Or Steps Or Stay Stage (UOM:Number),Cases Pending At Evidence Or Argument Or Judgement Stage (UOM:Number),Cases Pending At Pleadings Or Issues Or Charge Stage (UOM:Number),Cases Instituted In Last Month (UOM:Number),Cases Disposed In Last Month (UOM:Number),Cases Filed By Senior Citizens (UOM:Number),Cases Filed By Women (UOM:Number),Cases Delayed In Disposal (UOM:Number)
India,Assam,Dhubri,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,11092,10287,5603,4376,243,15,1,31617,29933,110,1377,196,12494,4585,10433,1044,2081,682,969,2831,294
India,Bihar,Buxar,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,9118,10497,12212,16398,10798,2704,664,62391,58638,1117,1958,677,34683,3164,23182,1112,1649,1538,4082,5056,50250
India,Assam,Sivasagar,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,637,396,218,130,42,1,0,1424,1024,130,184,86,265,176,865,114,60,72,241,450,21
India,Assam,Kamrup,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,4208,3935,3522,3118,159,1,1,14944,12715,346,1676,207,6264,1102,6747,713,520,453,873,1085,133
India,Andhra Pradesh,Chittoor,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,12816,12845,9676,7336,1151,39,0,43863,33519,2654,2,7688,8908,9078,14616,10080,1180,1090,9707,10713,146
India,Assam,Dima Hasao,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,22,28,3,0,0,0,0,53,26,24,1,2,14,7,17,15,2,2,3,19,1
India,Assam,Nalbari,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,4345,3137,2811,707,36,0,0,11036,10025,168,665,178,5521,760,4279,456,314,366,523,868,26
India,Assam,Bongaigaon,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,5620,4528,2052,533,30,2,0,12765,11527,288,829,121,7102,1114,3873,673,515,668,582,1353,6
India,Andhra Pradesh,West Godavari,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,22629,18520,12958,7067,998,54,3,62229,53274,2896,1235,4822,22740,10746,21356,6158,3029,2344,6278,7818,1991
India,Assam,Kamrup Metro,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,54756,19225,19161,13335,2186,106,3,108772,99763,1172,5929,1905,42612,30445,29717,4910,4293,2040,2871,11006,156
India,Bihar,Araria,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,8401,10808,13349,18118,11634,1498,117,63925,62886,216,821,0,35493,2063,17605,6,1236,1362,2931,14057,44213
